"Nivel general","Alimentos y bebidas no alcohólicas","Alimentos","Pan y cereales","Carnes y derivados","Leche, productos lácteos y huevos","Aceites, grasas y manteca","Frutas","Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc,","Bebidas no alcohólicas","Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos","Bebidas alcohólicas y tabaco","Bebidas alcohólicas","Tabaco","Prendas de vestir y calzado","Prendas de vestir y materiales","Calzado","Vivienda, agua, electricidad y otros combustibles","Alquiler de la vivienda y gastos conexos","Alquiler de la vivienda","Mantenimiento y reparación de la vivienda","Electricidad, gas y otros combustibles","Equipamiento y mantenimiento del hogar","Bienes y servicios para la conservación del hogar","Salud","Productos medicinales, artefactos y equipos para la salud","Gastos de prepagas","Transporte","Adquisición de vehículos","Funcionamiento de equipos de transporte personal","Combustibles y lubricantes para vehículos de uso del hogar","Transporte público","Comunicación","Servicios  de telefonía e internet","Recreación y cultura","Equipos audiovisuales, fotográficos y de procesamiento de la información","Servicios recreativos y culturales","Periódicos, diarios, revistas, libros y artículos de papelería","Educación","Restaurantes y hoteles","Restaurantes y comidas fuera del hogar","Bienes y servicios varios","Cuidado personal","Periodo","Mes","Año","Interanual"
2.8,1.6,1.3,2.4,1.2,3.5,1.5,1.4,-5.5,4.5,3.5,2.2,3.9,1.3,1.8,1,0.4,0,1.6,4.7,10.9,2,1.9,0,1.5,1.6,6,6,8.5,3.1,0.7,2.4,2.5,5.9,6.7,6.8,2.5,1.4,2,1.1,2.1,2.3,1.9,3.4,3.4,2018-12-01,"12","2018",47.2
2.8,3.8,3.6,2.7,4.9,3.3,2.2,3.6,1.5,4.2,4.9,4,5.1,3.8,2.2,5,-0.9,-1.3,0.4,1.4,0.5,2.5,1.9,1.3,2.6,3.3,2.2,3.5,0,3.3,1.6,0.9,-0.2,7.6,8.2,8.4,3.2,2.7,2.7,2.9,0.3,3.3,2.2,3.9,5.3,2019-01-01,"01","2019",48.94
3.8,5.5,5.9,2.7,10.3,3.1,1.1,3.6,8.9,2.3,3,3.2,2.9,2.3,2,2.5,1,0.6,2.1,7.1,3.3,2.4,3.4,11.9,2.4,2.9,3.6,2.8,5,2.6,1.2,1.4,1.2,5,1.5,1.4,2.5,0.3,2.4,4,2,3.6,4.1,2.3,2.7,2019-02-01,"02","2019",50.68
4.8,5.8,6.3,3.6,9.2,7.1,4,-2.1,8.8,2.6,2.8,4,2.5,4.1,1.1,6.4,8.4,10,3.6,3.6,1.8,2.1,1.4,6.7,4.2,4.2,2.8,5,0,4.3,3.4,2.4,2.4,7.2,4.2,4.3,0.9,1.9,0.9,2.6,17.7,4.2,4.9,3.3,3.5,2019-03-01,"03","2019",54.06
3.2,2,2,3.1,1.7,7,5.8,-1.1,-8.4,4.2,2.1,3.1,1.7,1.1,1.6,0.8,6.2,5.6,8.1,3.4,1.8,2.9,3,5.7,4.5,4.7,3.1,5.3,0,3.9,4.8,3.9,4.5,3.2,3.3,3,3.3,6.5,2.6,4.8,1,4,4.3,2.7,3,2019-04-01,"04","2019",54.96
3,2.6,2.4,2.9,-0.4,7.5,8.9,0.9,0.3,4.1,4.3,4.6,4.2,2.1,1.2,2.8,2.5,2.3,3.1,3.5,4.8,2.2,3.2,1.2,3.3,3.2,5.5,5.2,7.5,2.9,3.7,5,5.1,-0.1,1.2,1.1,2.7,4.8,6.1,0.6,5.3,2.1,2.3,2.5,2.9,2019-05-01,"05","2019",56.64
2.6,2.7,2.7,2.6,0.5,5.8,3.4,-1.1,6,3.7,2.3,5.8,1.1,2.8,2.1,3.2,1.3,0.9,2.4,2.6,1.6,2.2,1.9,1.7,3.3,3.4,2.7,4.8,0,2,2,2,1.7,2,7.9,8.1,3.2,5.2,2.7,2.2,2.1,2.1,2.2,1.5,1.5,2019-06-01,"06","2019",54.68
2.1,2.5,2.6,2,0.1,2.7,2.7,2.1,12.5,3,1.8,2.9,1.4,1.2,2.8,0,0,-0.7,2.1,2.4,4.4,2.4,2.6,0.6,2.3,2,3.9,3.3,5.5,0,-3.4,1.5,2,0.2,0.2,0,4.1,3.4,1.7,3,2.2,2.8,2.1,3,2.7,2019-07-01,"07","2019",53.62
3.9,4.3,4.4,4.8,3.7,2.8,4.4,8.9,7.1,5.2,3.6,2.4,4.1,4.4,1.7,6.3,3.1,2.4,5.1,1.6,1.6,2.8,6.3,0.8,6.3,3.9,5.4,6.1,5.7,4.2,15.9,1.9,0.7,-0.1,1.4,1.2,5.3,10.7,3.6,5.6,1.9,3.2,3.4,4.1,5,2019-08-01,"08","2019",53.33
5.8,5.7,5.6,6.8,6.7,1.6,6.3,8.7,3.6,7.3,6.4,2,7.8,5.9,3.4,7.6,11.7,13,7.9,1.6,1.3,2.1,5.5,1.2,7.6,6,7.6,10.1,5.5,4.5,8.7,3.5,2,2.8,6.7,6.7,7.7,11.8,3.8,6.6,0.9,5.3,5.5,8.1,9.1,2019-09-01,"09","2019",52.18
